affiliatename,countryoforiginname,countryoforigincode,profilepics3key,firstname,lastname,competitorname,division,status,gender,height,affiliateid,weight,bibid,competitorid,age,overallrank,overallscore,Number of Records,ordinal,breakdown,lane,rank,heat,points,scoredisplay,time,workoutrank
Centerville CrossFit,United States,US,7a4f2-P174547_5-184.jpg,Amanda,Barnhart,Amanda Barnhart,Women,ACT,F,1.74,44601,70.3,104,174547,27,7,706,1,1,64 pts,30,19,3,64,CAP+9,CAP+9,19
Streamline CrossFit,United States,US,69340-P592472_6-184.jpg,Bethany,Shadburne,Bethany Shadburne,Women,ACT,F,1.65,44951,65.8,301,592472,25,8,659,1,1,78 pts,22,12,2,78,CAP+8,CAP+8,12
CrossFit Kallithea,Greece,GR,5b3c7-P252900_1-184.jpg,Anna,Fragkou,Anna Fragkou,Women,ACT,F,1.62,44717,63,167,252900,29,9,640,1,1,80 pts,43,11,2,80,CAP+8,CAP+8,11
CrossFit Zug,Iceland,IS,4641e-P19501_6-184.jpg,Thuridur Erla,Helgadottir,Thuridur Erla Helgadottir,Women,ACT,F,1.68,44952,59,119,19501,27,10,611,1,1,74 pts,10,14,3,74,CAP+8,CAP+8,14
CrossFit Envy,United States,US,59c42-P349097_4-184.jpg,Danielle,Brandon,Danielle Brandon,Women,CUT,F,1.74,44754,68,108,349097,23,11,376,1,1,58 pts,18,22,3,58,CAP+9,CAP+9,22
CrossFit ReykjavÃ­k,Iceland,IS,15f17-P18588_4-184.jpg,Annie,Thorisdottir,Annie Thorisdottir,Women,CUT,F,1.74,44767,68.9,11,18588,29,12,370,1,1,90 pts,25,6,3,90,CAP+1,CAP+1,6
CrossFit Colosseum,Canada,CA,9bab8-P239148_10-184.jpg,Carolyne,Prevost,Carolyne Prevost,Women,CUT,F,1.62,44598,65.3,107,239148,29,13,365,1,1,42 pts,19,33,3,42,CAP+11,CAP+11,33
Diablo CrossFit,Italy,IT,a0400-P37537_14-184.jpg,Alessandra,Pichelli,Alessandra Pichelli,Women,CUT,F,1.71,44640,70.3,130,37537,33,14,365,1,1,82 pts,16,10,3,82,CAP+7,CAP+7,10
CrossFit BBros,Hungary,HU,c1412-P591912_5-184.jpg,Laura,Horvath,Laura Horvath,Women,CUT,F,1.74,44659,68.9,152,591912,22,15,356,1,1,70 pts,16,16,2,70,CAP+9,CAP+9,16
CrossFit T-Town,United States,US,16c0e-P168305_8-184.jpg,Brooke,Wells,Brooke Wells,Women,CUT,F,1.71,44603,68,102,168305,24,16,351,1,1,62 pts,29,20,3,62,CAP+9,CAP+9,20
CrossFit Saint Jerome,Canada,CA,fb6c4-P103389_9-184.jpg,Carol-Ann,Reason-Thibault,Carol-Ann Reason-Thibault,Women,CUT,F,1.68,44615,65.8,126,103389,31,17,328,1,1,56 pts,21,23,3,56,CAP+9,CAP+9,23
CrossFit Black Five,United Kingdom,GB,0e63d-P2536_14-184.jpg,Samantha,Briggs,Samantha Briggs,Women,CUT,F,1.74,44674,61.2,13,2536,37,18,318,1,1,86 pts,35,8,3,86,CAP+6,CAP+6,8
,Canada,CA,22eb9-P484380_3-184.jpg,Emily,Rolfe,Emily Rolfe,Women,CUT,F,1.74,,68,314,484380,30,19,317,1,1,21 pts,3,54,1,21,CAP+20,CAP+20,54
CrossFit Sudurnes,Iceland,IS,53249-P8859_6-184.jpg,RagnheiÃ°ur Sara,Sigmundsdottir,RagnheiÃ°ur Sara Sigmundsdottir,Women,CUT,F,1.77,44631,68.9,121,8859,26,20,294,1,1,35 pts,26,40,3,35,CAP+19,CAP+19,40
CrossFit Berserk,Ireland,IE,69815-P239442_5-184.jpg,Emma,McQuaid,Emma McQuaid,Women,CUT,F,1.68,44667,64,128,239442,29,21,255,1,1,72 pts,33,15,3,72,CAP+8,CAP+8,15
CrossFit Alpha Prime,Slovakia,SK,f5632-P698210_3-184.jpg,Karin,FreyovÃ¡,Karin FreyovÃ¡,Women,CUT,F,1.74,44724,73,127,698210,24,22,254,1,1,17 pts,20,58,3,17,CAP+22,CAP+22,58
CrossFit Urge,Australia,AU,082c4-P21556_8-184.jpg,Madeline,Sturt,Madeline Sturt,Women,CUT,F,1.58,44785,62.1,303,21556,22,23,244,1,1,84 pts,45,9,3,84,CAP+6,CAP+6,9
CrossFit Queens,United States,US,55677-P115892_12-184.jpg,Meg,Reardon,Meg Reardon,Women,CUT,F,1.71,44956,68,306,115892,27,24,243,1,1,68 pts,24,17,2,68,CAP+9,CAP+9,17
CrossFit Mentality,United States,US,25dfc-P252691_6-184.jpg,Feeroozeh,Saghafi,Feeroozeh Saghafi,Women,CUT,F,1.58,44597,57.6,112,252691,24,25,237,1,1,92 pts,15,5,3,92,CAP,CAP,5
CrossFit Northlake,United States,US,d678c-P93497_6-184.jpg,Mekenzie,Riley,Mekenzie Riley,Women,CUT,F,1.65,44607,70.3,105,93497,31,26,228,1,1,36 pts,31,39,3,36,CAP+17,CAP+17,39
SUBU CrossFit,United States,US,47a8d-P670000_4-184.jpg,Dani,Speegle,Dani Speegle,Women,CUT,F,1.71,44644,76.2,124,670000,25,27,226,1,1,52 pts,28,25,3,52,CAP+10,CAP+10,25
,United States,US,cc303-P245403_2-184.jpg,Colleen,Fotsch,Colleen Fotsch,Women,CUT,F,1.77,,75.7,117,245403,29,28,222,1,1,50 pts,40,26,3,50,CAP+11,CAP+11,26
,Sweden,SE,b64c8-P2088_7-184.jpg,Camilla,Salomonsson Hellman,Camilla Salomonsson Hellman,Women,CUT,F,1.68,,67.6,131,2088,28,29,208,1,1,31 pts,37,44,3,31,CAP+19,CAP+19,44
CrossFit Dux,Australia,AU,1cb92-P477709_2-184.jpg,Courtney,Haley,Courtney Haley,Women,CUT,F,1.68,44775,68.9,118,477709,24,30,191,1,1,66 pts,41,18,3,66,CAP+9,CAP+9,18
CrossFit Vertex,United States,US,e32e0-P531598_13-184.jpg,Paige,Semenza,Paige Semenza,Women,CUT,F,1.62,44900,64.9,310,531598,27,31,171,1,1,54 pts,17,24,2,54,CAP+10,CAP+10,24
CrossFit Kungsholmen,Sweden,SE,45a8f-P887297_1-184.jpg,Emma,Tall,Emma Tall,Women,CUT,F,1.71,44957,69.9,305,887297,27,32,168,1,1,48 pts,46,27,1,48,CAP+11,CAP+11,27
CrossFit Iron Industry,United States,US,e5119-P106129_14-184.jpg,Carrie,Beamer,Carrie Beamer,Women,CUT,F,1.62,44653,61.2,114,106129,27,33,167,1,1,34 pts,38,41,3,34,CAP+19,CAP+19,41
CrossFit Lyon,France,FR,e0d82-P330326_3-184.jpg,Carole,Castellani,Carole Castellani,Women,CUT,F,1.74,44611,68.9,138,330326,30,34,156,1,1,44 pts,7,31,3,44,CAP+11,CAP+11,31
CrossFit Ballina,United States,US,82da0-P43198_4-184.jpg,Lindsay,Vaughan,Lindsay Vaughan,Women,CUT,F,1.77,44958,69.9,311,43198,34,35,152,1,1,32 pts,31,43,2,32,CAP+19,CAP+19,43
,Switzerland,CH,bd785-P390443_1-184.jpg,Alessia Joy,WÃ¤lchli,Alessia Joy WÃ¤lchli,Women,CUT,F,1.71,,66.2,144,390443,25,36,152,1,1,28 pts,29,47,2,28,CAP+19,CAP+19,47
CrossFit El Camino,Chile,CL,c96ac-P635438_2-184.jpg,Simona,Quintana,Simona Quintana,Women,CUT,F,1.71,44657,64.9,146,635438,23,37,141,1,1,23 pts,20,52,2,23,CAP+20,CAP+20,52
CrossFit Riders,Sweden,SE,cd349-P796219_2-184.jpg,Hanna,Karlsson,Hanna Karlsson,Women,CUT,F,1.8,44592,79.8,309,796219,26,38,132,1,1,33 pts,47,42,1,33,CAP+19,CAP+19,42
CrossFit EHOH,Iceland,IS,08a04-P96750_7-184.jpg,OddrÃºn Eik,Gylfadottir,OddrÃºn Eik Gylfadottir,Women,CUT,F,1.65,44953,58.1,308,96750,30,39,125,1,1,76 pts,33,13,2,76,CAP+8,CAP+8,13
CrossFit Tradition,United States,US,f4527-P9759_2-184.jpg,Cheryl,Nasso,Cheryl Nasso,Women,CUT,F,1.65,44955,56.7,120,9759,34,40,122,1,1,38 pts,42,37,3,38,CAP+16,CAP+16,37
CrossFit 915,United States,US,733ab-P279929_7-184.jpg,Rachel,Garibay,Rachel Garibay,Women,CUT,F,0.15,44959,59,312,279929,27,41,100,1,1,26 pts,4,49,1,26,CAP+20,CAP+20,49
